closed_pct,direction,draw,feature,frame,gap,layer,method,n_features,rmse_to_target,scope
5.88381021174661,inject,,,0,0.5196904540061951,5,occ_features,6,0.48911285400390625,all
1.6509195650535768,inject,,,0,0.5196904540061951,5,color_features,6,0.511110782623291,all
1.7081167602692071,inject,0,,0,0.5196904540061951,5,random_same_norm,,0.5108135342597961,all
1.5203076422311446,inject,0,,0,0.5196904540061951,5,random_raw,,0.5117895603179932,all
0.6316579766001862,inject,1,,0,0.5196904540061951,5,random_same_norm,,0.5164077877998352,all
-0.5510634927862412,inject,1,,0,0.5196904540061951,5,random_raw,,0.5225542783737183,all
0.4083973786320083,inject,2,,0,0.5196904540061951,5,random_same_norm,,0.517568051815033,all
1.7438320331590096,inject,2,,0,0.5196904540061951,5,random_raw,,0.5106279253959656,all
1.712692994656817,inject,3,,0,0.5196904540061951,5,random_same_norm,,0.5107897520065308,all
2.5194750887118533,inject,3,,0,0.5196904540061951,5,random_raw,,0.5065969824790955,all
-0.08054860677748632,inject,4,,0,0.5196904540061951,5,random_same_norm,,0.5201090574264526,all
-0.018866931247174534,inject,4,,0,0.5196904540061951,5,random_raw,,0.5197885036468506,all
4.288166741006583,inject,,,0,0.5196904540061951,5,all_tc_features,,0.4974052608013153,all
7.642999582863041,inject,,,0,0.5196904540061951,5,mlp_swap_ceiling,,0.4799705147743225,all
85.67554194256446,inject,,,0,0.5196904540061951,5,full_token_swap_ceiling,,0.07444284111261368,all
3.895660020880931,inject,,,0,0.5196904540061951,5,occ_features,6,0.4994450807571411,bowl
1.7150212542575316,inject,,,0,0.5196904540061951,5,color_features,6,0.5107776522636414,bowl
0.0,inject,0,,0,0.5196904540061951,5,random_same_norm,,0.5196904540061951,bowl
0.0,inject,0,,0,0.5196904540061951,5,random_raw,,0.5196904540061951,bowl
3.071513468523024,inject,1,,0,0.5196904540061951,5,random_same_norm,,0.5037280917167664,bowl
0.27918470542183105,inject,1,,0,0.5196904540061951,5,random_raw,,0.5182395577430725,bowl
1.5207090663002298,inject,2,,0,0.5196904540061951,5,random_same_norm,,0.511787474155426,bowl
0.12346657439264996,inject,2,,0,0.5196904540061951,5,random_raw,,0.519048810005188,bowl
1.970246677384302,inject,3,,0,0.5196904540061951,5,random_same_norm,,0.5094512701034546,bowl
0.06027095665893656,inject,3,,0,0.5196904540061951,5,random_raw,,0.5193772315979004,bowl
0.14907743000053264,inject,4,,0,0.5196904540061951,5,random_same_norm,,0.5189157128334045,bowl
1.5736167586061556,inject,4,,0,0.5196904540061951,5,random_raw,,0.5115125179290771,bowl
4.528338761542516,inject,,,0,0.5196904540061951,5,all_tc_features,,0.49615710973739624,bowl
4.194669340686197,inject,,,0,0.5196904540061951,5,mlp_swap_ceiling,,0.4978911578655243,bowl
25.801526306064748,inject,,,0,0.5196904540061951,5,full_token_swap_ceiling,,0.3856023848056793,bowl
2.4330312827483214,inject,,,0,0.5196904540061951,5,occ_features,6,0.5070462226867676,nonbowl
